"idCpu";"registro";"hora"
1;34.6;"2022-10-24 21:45:42"
2;23.2;"2022-10-24 21:45:43"
3;23.9;"2022-10-24 21:45:44"
4;35.8;"2022-10-24 21:45:45"
5;18.9;"2022-10-24 21:45:46"
6;32.4;"2022-10-24 21:45:47"
7;32.2;"2022-10-24 21:45:48"
8;27.6;"2022-10-24 21:45:49"
9;28.2;"2022-10-24 21:45:50"
10;30.0;"2022-10-24 21:45:51"
11;42.6;"2022-10-24 21:45:52"
12;36.3;"2022-10-24 21:45:54"
13;46.4;"2022-10-24 21:45:55"
14;45.2;"2022-10-24 21:45:56"
15;38.9;"2022-10-24 21:45:57"
16;56.2;"2022-10-24 21:45:58"
17;30.2;"2022-10-24 21:45:59"
18;55.5;"2022-10-24 21:46:00"
19;20.3;"2022-10-24 21:46:01"
20;24.9;"2022-10-24 21:46:02"
21;33.3;"2022-10-24 21:46:03"
22;20.8;"2022-10-24 21:46:04"
23;45.2;"2022-10-24 21:46:06"
24;42.3;"2022-10-24 21:46:07"
25;26.5;"2022-10-24 21:46:08"
26;27.0;"2022-10-24 21:46:09"
27;34.2;"2022-10-24 21:46:10"
28;29.1;"2022-10-24 21:46:11"
29;22.3;"2022-10-24 21:46:12"
30;85.9;"2022-10-24 21:46:13"
31;79.0;"2022-10-24 21:46:14"
32;55.5;"2022-10-24 21:46:15"
33;73.2;"2022-10-24 21:46:16"
34;87.4;"2022-10-24 21:46:17"
35;34.9;"2022-10-24 21:46:19"
36;22.2;"2022-10-24 21:46:20"
37;42.2;"2022-10-24 21:46:21"
38;38.4;"2022-10-24 21:46:22"
39;54.4;"2022-10-24 21:46:23"
40;50.8;"2022-10-24 21:46:24"
41;57.5;"2022-10-24 21:46:25"
42;34.4;"2022-10-24 21:46:26"
43;49.6;"2022-10-24 21:46:28"
44;59.5;"2022-10-24 21:46:29"
45;52.5;"2022-10-24 21:46:30"
46;46.7;"2022-10-24 21:46:31"
47;34.2;"2022-10-24 21:46:34"
48;17.2;"2022-10-24 21:46:35"
49;36.4;"2022-10-24 21:46:36"
50;29.5;"2022-10-24 21:46:38"
51;25.8;"2022-10-24 21:46:39"
52;36.0;"2022-10-24 21:46:40"
53;18.4;"2022-10-24 21:46:41"
54;17.2;"2022-10-24 21:46:42"
55;20.0;"2022-10-24 21:46:43"
56;17.2;"2022-10-24 21:46:44"
57;26.1;"2022-10-24 21:46:45"
58;17.4;"2022-10-24 21:46:46"
59;17.2;"2022-10-24 21:46:47"
60;26.5;"2022-10-24 21:46:48"
61;27.8;"2022-10-24 21:46:49"
62;21.8;"2022-10-24 21:46:50"
63;12.8;"2022-10-24 21:46:52"
64;9.8;"2022-10-24 21:46:53"
65;16.9;"2022-10-24 21:46:54"
66;18.5;"2022-10-24 21:46:55"
67;14.3;"2022-10-24 21:46:56"
68;24.1;"2022-10-24 21:46:57"
69;17.4;"2022-10-24 21:46:58"
70;11.0;"2022-10-24 21:46:59"
71;21.5;"2022-10-24 21:47:00"
72;14.6;"2022-10-24 21:47:02"
73;12.5;"2022-10-24 21:47:03"
74;26.0;"2022-10-24 21:47:04"
75;26.4;"2022-10-24 21:47:05"
76;18.3;"2022-10-24 21:47:06"
77;19.2;"2022-10-24 21:47:07"
78;28.0;"2022-10-24 21:47:09"
79;11.5;"2022-10-24 21:47:10"
80;18.6;"2022-10-24 21:47:11"
81;33.6;"2022-10-24 21:47:12"
82;79.6;"2022-10-24 21:47:13"
83;72.3;"2022-10-24 21:47:15"
84;38.8;"2022-10-24 21:47:16"
85;51.3;"2022-10-24 21:47:17"
86;57.4;"2022-10-24 21:47:18"
87;41.6;"2022-10-24 21:47:19"
88;33.7;"2022-10-24 21:47:20"
89;25.6;"2022-10-24 21:47:21"
90;19.5;"2022-10-24 21:47:22"
91;23.4;"2022-10-24 21:47:23"
