"idRam";"registro";"hora"
1;61.5;"2022-10-24 21:45:42"
2;61.4;"2022-10-24 21:45:43"
3;61.5;"2022-10-24 21:45:44"
4;61.5;"2022-10-24 21:45:45"
5;61.4;"2022-10-24 21:45:46"
6;61.5;"2022-10-24 21:45:47"
7;61.3;"2022-10-24 21:45:48"
8;61.4;"2022-10-24 21:45:49"
9;61.6;"2022-10-24 21:45:50"
10;61.5;"2022-10-24 21:45:51"
11;61.6;"2022-10-24 21:45:52"
12;61.6;"2022-10-24 21:45:54"
13;61.6;"2022-10-24 21:45:55"
14;61.8;"2022-10-24 21:45:56"
15;61.4;"2022-10-24 21:45:57"
16;61.5;"2022-10-24 21:45:58"
17;61.6;"2022-10-24 21:45:59"
18;62.0;"2022-10-24 21:46:00"
19;62.0;"2022-10-24 21:46:01"
20;61.9;"2022-10-24 21:46:02"
21;61.8;"2022-10-24 21:46:03"
22;61.8;"2022-10-24 21:46:04"
23;61.9;"2022-10-24 21:46:06"
24;61.9;"2022-10-24 21:46:07"
25;62.0;"2022-10-24 21:46:08"
26;61.9;"2022-10-24 21:46:09"
27;61.9;"2022-10-24 21:46:10"
28;61.8;"2022-10-24 21:46:11"
29;61.9;"2022-10-24 21:46:12"
30;63.1;"2022-10-24 21:46:13"
31;63.4;"2022-10-24 21:46:14"
32;63.3;"2022-10-24 21:46:15"
33;63.4;"2022-10-24 21:46:16"
34;63.7;"2022-10-24 21:46:18"
35;63.6;"2022-10-24 21:46:19"
36;63.6;"2022-10-24 21:46:20"
37;63.5;"2022-10-24 21:46:21"
38;63.6;"2022-10-24 21:46:22"
39;63.9;"2022-10-24 21:46:23"
40;63.5;"2022-10-24 21:46:24"
41;65.3;"2022-10-24 21:46:25"
42;65.3;"2022-10-24 21:46:27"
43;65.3;"2022-10-24 21:46:28"
44;65.0;"2022-10-24 21:46:29"
45;65.2;"2022-10-24 21:46:30"
46;64.6;"2022-10-24 21:46:31"
47;63.1;"2022-10-24 21:46:34"
48;63.1;"2022-10-24 21:46:35"
49;63.1;"2022-10-24 21:46:36"
50;63.2;"2022-10-24 21:46:38"
51;63.3;"2022-10-24 21:46:39"
52;63.3;"2022-10-24 21:46:40"
53;63.4;"2022-10-24 21:46:41"
54;63.4;"2022-10-24 21:46:42"
55;63.4;"2022-10-24 21:46:43"
56;63.4;"2022-10-24 21:46:44"
57;63.4;"2022-10-24 21:46:45"
58;63.3;"2022-10-24 21:46:46"
59;63.4;"2022-10-24 21:46:47"
60;63.3;"2022-10-24 21:46:48"
61;63.3;"2022-10-24 21:46:49"
62;63.0;"2022-10-24 21:46:50"
63;62.8;"2022-10-24 21:46:52"
64;62.9;"2022-10-24 21:46:53"
65;62.8;"2022-10-24 21:46:54"
66;63.1;"2022-10-24 21:46:55"
67;63.1;"2022-10-24 21:46:56"
68;63.1;"2022-10-24 21:46:57"
69;63.1;"2022-10-24 21:46:58"
70;63.1;"2022-10-24 21:46:59"
71;63.3;"2022-10-24 21:47:00"
72;63.6;"2022-10-24 21:47:02"
73;63.6;"2022-10-24 21:47:03"
74;63.4;"2022-10-24 21:47:04"
75;63.3;"2022-10-24 21:47:05"
76;63.2;"2022-10-24 21:47:06"
77;63.3;"2022-10-24 21:47:07"
78;63.5;"2022-10-24 21:47:09"
79;63.5;"2022-10-24 21:47:10"
80;63.6;"2022-10-24 21:47:11"
81;63.6;"2022-10-24 21:47:12"
82;63.7;"2022-10-24 21:47:13"
83;63.4;"2022-10-24 21:47:15"
84;63.5;"2022-10-24 21:47:16"
85;63.7;"2022-10-24 21:47:17"
86;63.6;"2022-10-24 21:47:18"
87;63.7;"2022-10-24 21:47:19"
88;63.6;"2022-10-24 21:47:20"
89;63.6;"2022-10-24 21:47:21"
90;63.6;"2022-10-24 21:47:22"
91;63.6;"2022-10-24 21:47:24"
92;63.6;"2022-10-24 21:47:25"
93;63.6;"2022-10-24 21:47:26"
94;63.6;"2022-10-24 21:47:27"
95;63.6;"2022-10-24 21:47:28"
96;63.6;"2022-10-24 21:47:29"
97;63.6;"2022-10-24 21:47:30"
98;63.6;"2022-10-24 21:47:31"
99;63.6;"2022-10-24 21:47:32"
100;63.6;"2022-10-24 21:47:33"
101;63.6;"2022-10-24 21:47:34"
102;63.5;"2022-10-24 21:47:36"
103;63.6;"2022-10-24 21:47:37"
104;63.5;"2022-10-24 21:47:38"
105;63.6;"2022-10-24 21:47:39"
106;63.6;"2022-10-24 21:47:40"
107;63.6;"2022-10-24 21:47:41"
108;63.6;"2022-10-24 21:47:42"
109;63.6;"2022-10-24 21:47:43"
110;63.6;"2022-10-24 21:47:44"
111;63.6;"2022-10-24 21:47:46"
112;63.6;"2022-10-24 21:47:47"
113;63.6;"2022-10-24 21:47:48"
114;63.6;"2022-10-24 21:47:49"
115;63.6;"2022-10-24 21:47:50"
116;63.6;"2022-10-24 21:47:51"
117;63.6;"2022-10-24 21:47:52"
118;63.5;"2022-10-24 21:47:53"
119;63.6;"2022-10-24 21:47:54"
120;63.6;"2022-10-24 21:47:55"
121;63.6;"2022-10-24 21:47:56"
122;63.6;"2022-10-24 21:47:57"
123;63.5;"2022-10-24 21:47:58"
124;63.6;"2022-10-24 21:48:00"
125;63.5;"2022-10-24 21:48:01"
126;63.6;"2022-10-24 21:48:02"
127;63.6;"2022-10-24 21:48:03"
128;63.6;"2022-10-24 21:48:04"
129;63.6;"2022-10-24 21:48:05"
130;63.6;"2022-10-24 21:48:06"
131;63.5;"2022-10-24 21:48:07"
132;63.5;"2022-10-24 21:48:08"
133;63.5;"2022-10-24 21:48:09"
134;63.6;"2022-10-24 21:48:11"
135;63.6;"2022-10-24 21:48:12"
136;63.6;"2022-10-24 21:48:13"
137;63.6;"2022-10-24 21:48:14"
138;63.6;"2022-10-24 21:48:15"
139;63.6;"2022-10-24 21:48:16"
140;63.6;"2022-10-24 21:48:17"
141;63.5;"2022-10-24 21:48:18"
142;63.5;"2022-10-24 21:48:19"
143;63.6;"2022-10-24 21:48:21"
144;63.5;"2022-10-24 21:48:22"
