"idTemp";"registro";"hora"
1;44.0;"2022-10-24 22:25:37"
2;41.0;"2022-10-24 22:25:38"
3;40.0;"2022-10-24 22:25:39"
4;39.0;"2022-10-24 22:25:41"
5;40.0;"2022-10-24 22:25:42"
6;44.0;"2022-10-24 22:25:43"
7;46.0;"2022-10-24 22:25:44"
8;40.0;"2022-10-24 22:25:45"
9;45.0;"2022-10-24 22:25:46"
10;46.0;"2022-10-24 22:25:47"
11;42.0;"2022-10-24 22:25:48"
12;47.0;"2022-10-24 22:25:50"
13;40.0;"2022-10-24 22:25:51"
14;41.0;"2022-10-24 22:25:52"
15;47.0;"2022-10-24 22:25:53"
16;45.0;"2022-10-24 22:25:54"
17;43.0;"2022-10-24 22:25:55"
18;47.0;"2022-10-24 22:25:56"
19;41.0;"2022-10-24 22:25:58"
20;41.0;"2022-10-24 22:25:59"
21;42.0;"2022-10-24 22:26:00"
22;41.0;"2022-10-24 22:26:01"
23;40.0;"2022-10-24 22:26:02"
24;40.0;"2022-10-24 22:26:03"
25;39.0;"2022-10-24 22:26:04"
26;38.0;"2022-10-24 22:26:05"
27;38.0;"2022-10-24 22:26:06"
28;39.0;"2022-10-24 22:26:07"
29;38.0;"2022-10-24 22:26:08"
30;41.0;"2022-10-24 22:26:10"
31;38.0;"2022-10-24 22:26:11"
32;38.0;"2022-10-24 22:26:12"
33;37.0;"2022-10-24 22:26:13"
34;39.0;"2022-10-24 22:26:14"
35;39.0;"2022-10-24 22:26:15"
36;39.0;"2022-10-24 22:26:16"
37;40.0;"2022-10-24 22:26:17"
38;39.0;"2022-10-24 22:26:18"
39;39.0;"2022-10-24 22:26:19"
40;39.0;"2022-10-24 22:26:20"
41;38.0;"2022-10-24 22:26:21"
42;41.0;"2022-10-24 22:26:23"
43;39.0;"2022-10-24 22:26:24"
44;41.0;"2022-10-24 22:26:25"
45;40.0;"2022-10-24 22:26:26"
46;39.0;"2022-10-24 22:26:27"
47;39.0;"2022-10-24 22:26:28"
48;37.0;"2022-10-24 22:26:29"
49;37.0;"2022-10-24 22:26:30"
50;38.0;"2022-10-24 22:26:31"
51;43.0;"2022-10-24 22:26:32"
52;41.0;"2022-10-24 22:26:33"
53;40.0;"2022-10-24 22:26:35"
54;38.0;"2022-10-24 22:26:36"
55;36.0;"2022-10-24 22:26:37"
56;39.0;"2022-10-24 22:26:38"
57;37.0;"2022-10-24 22:26:39"
58;37.0;"2022-10-24 22:26:40"
59;37.0;"2022-10-24 22:26:41"
60;38.0;"2022-10-24 22:26:42"
61;37.0;"2022-10-24 22:26:43"
62;36.0;"2022-10-24 22:26:44"
63;37.0;"2022-10-24 22:26:45"
64;38.0;"2022-10-24 22:26:46"
65;37.0;"2022-10-24 22:26:47"
66;37.0;"2022-10-24 22:26:49"
67;37.0;"2022-10-24 22:26:50"
68;37.0;"2022-10-24 22:26:51"
69;37.0;"2022-10-24 22:26:52"
70;38.0;"2022-10-24 22:26:53"
71;41.0;"2022-10-24 22:26:54"
72;38.0;"2022-10-24 22:26:55"
73;37.0;"2022-10-24 22:26:56"
74;37.0;"2022-10-24 22:26:57"
75;37.0;"2022-10-24 22:26:58"
76;36.0;"2022-10-24 22:26:59"
77;35.0;"2022-10-24 22:27:00"
78;36.0;"2022-10-24 22:27:01"
79;36.0;"2022-10-24 22:27:03"
80;37.0;"2022-10-24 22:27:04"
81;37.0;"2022-10-24 22:27:05"
82;41.0;"2022-10-24 22:27:06"
83;36.0;"2022-10-24 22:27:07"
84;37.0;"2022-10-24 22:27:08"
85;37.0;"2022-10-24 22:27:09"
86;36.0;"2022-10-24 22:27:10"
87;39.0;"2022-10-24 22:27:11"
88;36.0;"2022-10-24 22:27:12"
89;37.0;"2022-10-24 22:27:14"
90;36.0;"2022-10-24 22:27:15"
91;36.0;"2022-10-24 22:27:16"
92;36.0;"2022-10-24 22:27:17"
93;37.0;"2022-10-24 22:27:18"
94;36.0;"2022-10-24 22:27:19"
95;37.0;"2022-10-24 22:27:20"
96;37.0;"2022-10-24 22:27:21"
97;36.0;"2022-10-24 22:27:22"
98;37.0;"2022-10-24 22:27:23"
99;37.0;"2022-10-24 22:27:24"
100;37.0;"2022-10-24 22:27:25"
101;37.0;"2022-10-24 22:27:27"
102;36.0;"2022-10-24 22:27:28"
103;37.0;"2022-10-24 22:27:29"
104;36.0;"2022-10-24 22:27:30"
105;37.0;"2022-10-24 22:27:31"
106;37.0;"2022-10-24 22:27:32"
107;36.0;"2022-10-24 22:27:33"
108;37.0;"2022-10-24 22:27:34"
109;38.0;"2022-10-24 22:27:35"
110;37.0;"2022-10-24 22:27:36"
111;35.0;"2022-10-24 22:27:37"
112;36.0;"2022-10-24 22:27:39"
113;44.0;"2022-10-24 22:27:40"
114;36.0;"2022-10-24 22:27:41"
115;38.0;"2022-10-24 22:27:42"
116;37.0;"2022-10-24 22:27:43"
117;36.0;"2022-10-24 22:27:44"
118;36.0;"2022-10-24 22:27:45"
119;36.0;"2022-10-24 22:27:46"
120;37.0;"2022-10-24 22:27:47"
121;37.0;"2022-10-24 22:27:48"
122;37.0;"2022-10-24 22:27:49"
123;37.0;"2022-10-24 22:27:50"
124;38.0;"2022-10-24 22:27:51"
125;38.0;"2022-10-24 22:27:53"
126;38.0;"2022-10-24 22:27:54"
127;38.0;"2022-10-24 22:27:55"
128;37.0;"2022-10-24 22:27:56"
129;36.0;"2022-10-24 22:27:57"
130;38.0;"2022-10-24 22:27:58"
131;40.0;"2022-10-24 22:27:59"
132;37.0;"2022-10-24 22:28:00"
133;36.0;"2022-10-24 22:28:01"
134;42.0;"2022-10-24 22:28:02"
135;43.0;"2022-10-24 22:28:03"
136;37.0;"2022-10-24 22:28:04"
137;43.0;"2022-10-24 22:28:06"
138;39.0;"2022-10-24 22:28:07"
139;38.0;"2022-10-24 22:28:08"
140;37.0;"2022-10-24 22:28:09"
141;38.0;"2022-10-24 22:28:10"
142;37.0;"2022-10-24 22:28:11"
143;37.0;"2022-10-24 22:28:12"
144;37.0;"2022-10-24 22:28:13"
145;38.0;"2022-10-24 22:28:15"
146;36.0;"2022-10-24 22:28:16"
147;37.0;"2022-10-24 22:28:17"
148;36.0;"2022-10-24 22:28:18"
149;38.0;"2022-10-24 22:28:19"
150;37.0;"2022-10-24 22:28:20"
151;39.0;"2022-10-24 22:28:21"
152;37.0;"2022-10-24 22:28:22"
153;37.0;"2022-10-24 22:28:23"
154;37.0;"2022-10-24 22:28:24"
155;37.0;"2022-10-24 22:28:25"
156;37.0;"2022-10-24 22:28:26"
157;39.0;"2022-10-24 22:28:27"
158;41.0;"2022-10-24 22:28:29"
159;36.0;"2022-10-24 22:28:30"
